Vardas              Pavarde             ND   1Egz. 
VardasNR            1PavardeNR           15    10   
VardasNR            2PavardeNR           21    2    
VardasNR            3PavardeNR           34    10   
VardasNR            4PavardeNR           410   9    
VardasNR            5PavardeNR           59    7    
VardasNR            6PavardeNR           63    9    
VardasNR            7PavardeNR           71    3    
VardasNR            8PavardeNR           83    7    
VardasNR            9PavardeNR           92    7    
VardasNR            10PavardeNR           101    7    
VardasNR            11PavardeNR           111    10   
VardasNR            12PavardeNR           128    4    
VardasNR            13PavardeNR           138    6    
VardasNR            14PavardeNR           1410   4    
