              Vardas             Pavarde        ND1      Egz.
           VardasNR1          PavardeNR1         4         9
           VardasNR2          PavardeNR2         3         2
           VardasNR3          PavardeNR3         8         2
           VardasNR4          PavardeNR4         6         2
           VardasNR5          PavardeNR5         1         9
           VardasNR6          PavardeNR6         5         4
           VardasNR7          PavardeNR7         5         2
           VardasNR8          PavardeNR8         3         5
           VardasNR9          PavardeNR9         3         3
          VardasNR10         PavardeNR10         6         5
          VardasNR11         PavardeNR11         4         8
          VardasNR12         PavardeNR12         5        10
          VardasNR13         PavardeNR13         6         2
          VardasNR14         PavardeNR14         2        10
          VardasNR15         PavardeNR15        10         7
          VardasNR16         PavardeNR16         5         3
          VardasNR17         PavardeNR17         6        10
