Vardas             Pavarde        ND1        ND2        ND3        ND4        ND5        ND6        ND7      Egz.
VardasNR1          PavardeNR1         2         9         6         9         6         1         2        10
VardasNR2          PavardeNR2         1         6         6         8         2         3         4         4
VardasNR3          PavardeNR3         5         2         4         9         2         5         1        10
VardasNR4          PavardeNR4         7         3         4         5         9        10         2        10
VardasNR5          PavardeNR5         5         6         5         1        10         3         5         4
VardasNR6          PavardeNR6         1         2         9        10         4         8         3         8
VardasNR7          PavardeNR7         3         2         1         7         3         8         9         3
VardasNR8          PavardeNR8         6         4         2         7         3        10         4         5
VardasNR9          PavardeNR9        10         9        10        10        10         4         8         5
VardasNR10         PavardeNR10         2         2         1         2         2         4         8         9
VardasNR11         PavardeNR11         8         2         9         5         4         6        10         3
VardasNR12         PavardeNR12         8         9         7         7         1         6        10         7
VardasNR13         PavardeNR13         1         7         8         9         2         7         2        10
VardasNR14         PavardeNR14         7         9        10         4         7         4         4         6
VardasNR15         PavardeNR15         8         5         3         1         1         6        10        10
VardasNR16         PavardeNR16         9         3         9         3         3         5         4         7
VardasNR17         PavardeNR17         4         7         9         8         3         2         4         7
VardasNR18         PavardeNR18         1         5         3         3         8         5         1         9
