Vardas             Pavarde        ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10        ND11      Egz.
VardasNR1          PavardeNR1         1         2         9         4        10         6         5         9         6        10         9         2
VardasNR2          PavardeNR2         7         8         2         3         4         1         8         2         4        10         9         4
VardasNR3          PavardeNR3         9         8         1         6         5         1         1         3         7         1         5        10
VardasNR4          PavardeNR4         7         8         5         2         9         2         5         9         6         7         5         2
VardasNR5          PavardeNR5         4         3         8         4         4         5        10         9        10         5         2         8
VardasNR6          PavardeNR6         3         6         2         2         9         5        10         1         1         6         8         6
VardasNR7          PavardeNR7         6         6        10         6         2         8         1         2        10        10         5         4
VardasNR8          PavardeNR8         4         3         9         2         2         7         6         2         5         3         7         1
VardasNR9          PavardeNR9         3         9         9         9         8         1         8         6         2         8         2         8
VardasNR10         PavardeNR10         6         7         4         2         5         9         2         6         9         9         7         9
VardasNR11         PavardeNR11         7         9         5         7         8         7         7         2         4         2         8         8
VardasNR12         PavardeNR12         1         8         3        10         2         8         7         1         9         9         3         3
VardasNR13         PavardeNR13        10         7         5         8         2         7         3         9         5        10         3         7
VardasNR14         PavardeNR14         5         4         9         4         5         5         3         6         7         6         5        10
VardasNR15         PavardeNR15         9         4         2         3         9         6         9         8         6         2         6        10
VardasNR16         PavardeNR16         8        10         6         2         7        10         3        10         9         8         5         3
VardasNR17         PavardeNR17         9         3        10         3         1         4         2         8         6         6         3         7
VardasNR18         PavardeNR18         3         9         7         2         2        10         1         9         7         3         7         7
VardasNR19         PavardeNR19         5         4         1         9         3         3         3         2         7        10         3         1
