                   Vardas             Pavarde        ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10        ND11        ND12        ND13        ND14      Egz.
                VardasNR1          PavardeNR1         7         9         7         5         2         4         5         3         5         2         2         5         6         7         5
                VardasNR2          PavardeNR2         7        10         5        10         6         6         6         2         7         2         2         2        10         7         6
                VardasNR3          PavardeNR3         1         4         6         9         7         1         6         5         8         4        10         3         6         2         4
                VardasNR4          PavardeNR4         8         5         9        10         5         4         7         1         9         9         5         4         6         8         7
                VardasNR5          PavardeNR5         6         7         9         8         5        10         6         6         3         9         6        10         5         3         9
                VardasNR6          PavardeNR6        10         3         1         7         7         4        10         5         8         8         7         5         8         7         5
                VardasNR7          PavardeNR7         1         2         7         3         5         7         2         3         2         5         5         5         8         8         6
                VardasNR8          PavardeNR8         1         2         3         8         2         7         8         2         6         7         9        10        10         5         7
                VardasNR9          PavardeNR9        10         5         4         6         1        10         4         7         1         8         3         7         6        10         3
               VardasNR10         PavardeNR10         8        10         2         7         8         8         8         6         3         9         1         8        10         7         8
               VardasNR11         PavardeNR11         1         3         7         8         9         5         2        10         5         5         3         3         6         2         8
               VardasNR12         PavardeNR12         9         2         4         8         6         7         6         5        10        10         5         9         4         8         9
               VardasNR13         PavardeNR13         1         2         6         2         7         3         5         8         5         9         1        10         4         9         1
               VardasNR14         PavardeNR14         7         1         6        10         1         8         1         9         3        10         6         4        10         7         1
               VardasNR15         PavardeNR15         3        10         8        10         3         1         1         4         6         4         2         7         2         3        10
               VardasNR16         PavardeNR16         7         7         3         3         6         3         1         3         3         6         7         7         6         3         4
               VardasNR17         PavardeNR17         1         2         6         5         6         3        10         8         7         7         1         7        10         2         9
               VardasNR18         PavardeNR18         8         9         9         3         4         2         7         4        10         3         4         5         5         2         8
               VardasNR19         PavardeNR19         1         1         9         2         8         6         2         3         9        10         3         9         8         3         9
               VardasNR20         PavardeNR20         8         7         5         1         5         8         9         1         3         3        10         2         9         1        10
