Vardas             Pavarde        ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8      Egz.
VardasNR1          PavardeNR1         7         4         5         4        10         3         9         6         4
VardasNR2          PavardeNR2         5         5        10         2         7        10         8         1         7
VardasNR3          PavardeNR3         1         1         5         8         1         2         6         9         6
VardasNR4          PavardeNR4         9         1         6         9         5         4         4         2         5
VardasNR5          PavardeNR5         1         3         4         3         2         3         2         7         7
VardasNR6          PavardeNR6         5         2         6         6         1         9         1         2         8
VardasNR7          PavardeNR7         5         5         9         5        10         2         6        10         5
VardasNR8          PavardeNR8         2         1         6         4        10         7         3         1         3
VardasNR9          PavardeNR9         6         7         3         4         9         1         5         4         3
VardasNR10         PavardeNR10         9         6         8         3         8         9         8         9         7
VardasNR11         PavardeNR11         1         9         8         3         9         4         7         3         9
VardasNR12         PavardeNR12         6         7        10         9         4         3         7         4        10
VardasNR13         PavardeNR13         4        10         9         2         4         6         9         4         8
VardasNR14         PavardeNR14         2         6         3         1         6         4         2         3         8
VardasNR15         PavardeNR15         8         5         8         5         8         7         2         1        10
VardasNR16         PavardeNR16         4         7         8         8         3         5        10         8        10
VardasNR17         PavardeNR17         3         3         9         6         9         4         7         7         6
VardasNR18         PavardeNR18         9         7         8         7         4        10         9         1        10
VardasNR19         PavardeNR19         4         4        10         1         3         8         3         1         2
VardasNR20         PavardeNR20         8         2        10         6         1         9         3         5         6
VardasNR21         PavardeNR21         9         5         2        10        10        10        10         1         6
VardasNR22         PavardeNR22         9        10         7         6        10         3         3         7         5
