Vardas             Pavarde        ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10        ND11        ND12        ND13        ND14      Egz.
VardasNR1          PavardeNR1         7         2         2         7        10         7        10         8         9         5         9        10         8         8         4
VardasNR2          PavardeNR2         1         4         4         3         8         5         5         7         8         2         3         5         3         3         3
VardasNR3          PavardeNR3         3         5         1         3         8         6         9         3         1        10         1         3        10         5         2
VardasNR4          PavardeNR4         1         9         9         8         4         6         7         8         6        10         6         9         3         7         4
VardasNR5          PavardeNR5         2        10         6         6         7         6         9         1         6         7         7         2         5         5         3
VardasNR6          PavardeNR6        10         2         2         3         1         5         7         4        10         2         9         1         5         1        10
VardasNR7          PavardeNR7         1         8         9        10        10         1         4         6         7         6        10         5         6         1         8
VardasNR8          PavardeNR8        10         9        10         5         8         8         8         7         8         5         2         6         7         1         8
VardasNR9          PavardeNR9         1         7         1         7        10         6         6         2         5         7         2         2         7         4         2
VardasNR10         PavardeNR10         3         9         5         6         7         8         4         2        10         8         4        10         7         7         3
VardasNR11         PavardeNR11         9         2         3         7         8         9         2         2         4         3         2         8         3         9         8
VardasNR12         PavardeNR12         1         5         6         1         6        10         3        10         5         9         7         8         3        10         5
VardasNR13         PavardeNR13         9         1         1         2        10         6         8         2         6         2         9         5         2         5         7
VardasNR14         PavardeNR14         9         5         2        10         7         7         1         9         3         7         6        10         6         4        10
VardasNR15         PavardeNR15         1         5         7         4         2         3         2         9         5         1         1         9         5         2         6
VardasNR16         PavardeNR16         3        10         7        10         4         3         6         4         4         3        10         8         3         1         4
VardasNR17         PavardeNR17        10        10         4         7         5         3         8        10        10         3         2         9         8         4         4
VardasNR18         PavardeNR18         6         7         3         3         1         1         2        10         1         1         9         4         6         6         6
VardasNR19         PavardeNR19         7         6         3         1         1         5        10        10         5        10         4         8         4         4         5
VardasNR20         PavardeNR20        10         6         1         8         5         4         1         6         8         1         7         2         8         4         9
VardasNR21         PavardeNR21        10        10         1         8         3         5         6         7         4         5         5         8         1         3         7
VardasNR22         PavardeNR22         4         6        10         9         4         1        10         7         2         6         7         4         8         4         6
VardasNR23         PavardeNR23         8         3         7         2         4         6         8         7         3         6         2         9        10         3        10
