Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      Egz.      
VardasNR1           PavardeNR1          5         4         2         4         1         7         4         5         10        9         1         9         4         2         
VardasNR2           PavardeNR2          5         6         6         7         2         2         10        2         8         2         3         3         3         10        
VardasNR3           PavardeNR3          4         3         9         8         5         2         5         5         5         2         10        10        9         4         
VardasNR4           PavardeNR4          6         2         7         9         2         10        4         5         8         6         7         5         6         2         
VardasNR5           PavardeNR5          7         5         4         6         2         6         9         7         4         8         2         1         8         6         
VardasNR6           PavardeNR6          1         7         4         9         2         10        4         9         3         6         1         5         9         2         
VardasNR7           PavardeNR7          2         5         9         9         1         8         1         8         8         7         2         3         9         1         
VardasNR8           PavardeNR8          4         6         7         10        7         8         1         1         6         1         6         9         9         7         
VardasNR9           PavardeNR9          4         1         10        4         2         9         1         3         5         9         5         2         5         7         
VardasNR10          PavardeNR10         9         4         8         2         10        8         8         10        3         7         4         9         5         9         
VardasNR11          PavardeNR11         10        5         2         3         9         4         1         4         8         2         10        3         8         3         
VardasNR12          PavardeNR12         10        6         2         8         5         2         1         2         5         7         5         7         2         5         
VardasNR13          PavardeNR13         8         4         9         8         7         10        3         2         4         5         1         6         10        8         
VardasNR14          PavardeNR14         9         3         10        5         4         3         5         1         8         7         2         7         7         4         
VardasNR15          PavardeNR15         1         9         9         8         3         5         7         2         3         7         3         5         10        2         
VardasNR16          PavardeNR16         4         1         6         9         7         6         9         9         8         8         10        10        1         8         
VardasNR17          PavardeNR17         10        6         5         1         7         2         10        4         9         4         7         8         1         10        
VardasNR18          PavardeNR18         8         3         1         9         9         1         7         8         2         8         4         9         7         7         
VardasNR19          PavardeNR19         6         8         7         4         6         6         2         3         5         10        3         9         7         10        
VardasNR20          PavardeNR20         10        2         3         8         7         2         1         7         1         1         3         7         1         3         
VardasNR21          PavardeNR21         9         5         4         3         3         10        2         9         6         10        2         4         1         3         
VardasNR22          PavardeNR22         4         5         7         9         9         9         7         3         1         5         3         3         6         1         
VardasNR23          PavardeNR23         8         7         7         9         10        9         1         2         7         1         6         2         2         7         
VardasNR24          PavardeNR24         8         3         6         10        3         2         6         3         6         6         2         6         10        10        
