              Vardas             Pavarde        ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10        ND11        ND12        ND13      Egz.
           VardasNR1          PavardeNR1         4         6         3         9         8         5         6         9         1         4         4         5         4         3
           VardasNR2          PavardeNR2         1         4         3         7        10         5         9         4         8         4         4        10         5         2
           VardasNR3          PavardeNR3         6         4        10         8         4        10         6         1         4         4         8         8         4         3
           VardasNR4          PavardeNR4        10         1         7         4         7        10         4         9         2         3         7         9         9         4
           VardasNR5          PavardeNR5         9         7         7         9         6        10        10        10         9         1         8         5         9         7
           VardasNR6          PavardeNR6        10         9         9         1         1         7         5         5         6         6         1         2         2         9
           VardasNR7          PavardeNR7         3         1         6         1         7         8         1         8         7         1         3         5         7         8
           VardasNR8          PavardeNR8         9         9         1         3         9         4        10         7         4         7         3         5        10         8
           VardasNR9          PavardeNR9         8         3        10         1         2         3         8         1         2        10         2         1         6         2
          VardasNR10         PavardeNR10         7         3         4         7         8         4         6         8         9         9         1         6         9        10
          VardasNR11         PavardeNR11         1         2         1        10         4         3         6         8         5         8         2         2         1         4
          VardasNR12         PavardeNR12         3         6         3        10         3         2         5         7        10         8         3         5         6         2
          VardasNR13         PavardeNR13         3         9         5         4         5         1         3         6         3         7         1         4         8         4
          VardasNR14         PavardeNR14         2         2         2         6         9         7         8         6         2         4         1         1         1         7
          VardasNR15         PavardeNR15         6         3         7         1         5         5         6         6         9         8         8         6         5         9
          VardasNR16         PavardeNR16         3         5         7        10        10         7         9         7        10         7         6         1         6         5
          VardasNR17         PavardeNR17        10         4         2         1         9         3         1         6         7         3         3         5         6         1
          VardasNR18         PavardeNR18         6         1         3         6         8         2         2         6         5         1         3         8        10         2
          VardasNR19         PavardeNR19         8        10         8         9         4         9         4        10         3         8         5         9         7         2
          VardasNR20         PavardeNR20         9         9         2         1         6         6         6         3         8         6        10         7         6         4
          VardasNR21         PavardeNR21         5         6        10         6         5         9         2         5         9         7         3         7         2         1
          VardasNR22         PavardeNR22         3         3         8         9         2         5         1         3         3         9         3         5         8         7
          VardasNR23         PavardeNR23         1         5         6         4         1         6         7         1         7         7         5         5        10         3
          VardasNR24         PavardeNR24         4         4        10         3         6         2         6        10         7        10         6         7        10         1
          VardasNR25         PavardeNR25         1         4         4         8         3         9         9         4         3         1         3         3         2        10
          VardasNR26         PavardeNR26         2         4         3         7         1         8         2         6         5         6         7        10         7         1
          VardasNR27         PavardeNR27         6         5         9        10         7         8         6         9         5         8         7        10         4         4
          VardasNR28         PavardeNR28         3         8         2         4         5         3         4         6         7         3         2         5         2         9
          VardasNR29         PavardeNR29         9         4         6         7         3         8         1        10         2         3         6         2         6         6
          VardasNR30         PavardeNR30        10         4         8         7         7         4         7         2         7         2        10         1         7         4
          VardasNR31         PavardeNR31         3         1         9         1         3         5         5         4         9         6        10         1         1         1
